Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 12:53:15.449,1502707995449,52,62,47,142,-1093,-59,142,2341,3
2017-08-14 12:53:15.468,1502707995468,74,58,42,112,-1079,1,113,2431,4
2017-08-14 12:53:15.485,1502707995485,65,47,36,92,-1093,-51,100,2356,6
2017-08-14 12:53:15.503,1502707995503,53,60,42,148,-1062,-49,121,2349,5
2017-08-14 12:53:15.532,1502707995532,55,68,36,82,-1013,29,178,2382,7
2017-08-14 12:53:15.549,1502707995549,44,60,33,159,-1088,-90,121,2463,10
2017-08-14 12:53:15.566,1502707995566,52,60,28,143,-1047,-50,86,2336,11
2017-08-14 12:53:15.583,1502707995583,57,63,43,100,-1031,-22,85,2450,12
2017-08-14 12:53:15.668,1502707995668,52,54,23,136,-1061,-54,60,2359,14
2017-08-14 12:53:15.688,1502707995688,60,46,43,227,-1099,-38,124,2442,15
2017-08-14 12:53:15.707,1502707995707,53,67,41,84,-1040,62,70,2498,19
2017-08-14 12:53:15.724,1502707995724,63,53,48,150,-1106,-57,130,2428,17
2017-08-14 12:53:15.743,1502707995743,59,49,46,169,-1054,-42,126,2418,18
2017-08-14 12:53:15.792,1502707995792,52,58,42,115,-1067,2,121,2369,20
2017-08-14 12:53:15.810,1502707995810,62,45,36,170,-1062,-51,98,2417,21
2017-08-14 12:53:15.829,1502707995829,54,65,43,86,-1054,-31,114,2445,22
2017-08-14 12:53:16.510,1502707996510,53,62,46,142,-1091,-50,149,2341,3
2017-08-14 12:53:16.530,1502707996530,74,58,43,112,-1077,5,111,2424,4
2017-08-14 12:53:16.548,1502707996548,65,50,35,92,-1093,-47,101,2382,6
2017-08-14 12:53:16.593,1502707996593,54,67,33,82,-1015,28,178,2375,7
2017-08-14 12:53:16.623,1502707996623,52,61,18,143,-1047,-54,70,2303,11
2017-08-14 12:53:16.639,1502707996639,57,64,43,100,-1042,-21,74,2469,12
2017-08-14 12:53:16.657,1502707996657,47,56,45,169,-1031,37,93,2436,9
2017-08-14 12:53:16.728,1502707996728,54,52,9,136,-1054,-51,61,2366,14
2017-08-14 12:53:16.752,1502707996752,61,52,42,227,-1099,-38,117,2442,15
2017-08-14 12:53:16.771,1502707996771,63,54,49,150,-1110,-51,130,2415,17
2017-08-14 12:53:16.788,1502707996788,53,67,43,84,-1042,69,73,2472,19
2017-08-14 12:53:16.805,1502707996805,59,43,46,169,-1055,-39,130,2392,18
2017-08-14 12:53:16.855,1502707996855,52,58,42,115,-1077,7,124,2369,20
2017-08-14 12:53:16.873,1502707996873,62,46,37,170,-1061,-47,102,2423,21
2017-08-14 12:53:16.891,1502707996891,54,64,42,86,-1054,-30,127,2465,22
2017-08-14 12:53:17.571,1502707997571,54,62,46,142,-1087,-54,153,2341,3
2017-08-14 12:53:17.592,1502707997592,74,58,44,112,-1079,5,111,2411,4
2017-08-14 12:53:17.610,1502707997610,64,49,38,92,-1094,-49,95,2362,6
2017-08-14 12:53:17.628,1502707997628,56,61,42,149,-1054,-51,122,2336,5
2017-08-14 12:53:17.653,1502707997653,55,67,28,82,-1011,26,178,2382,7
2017-08-14 12:53:17.669,1502707997669,53,61,27,143,-1047,-51,73,2303,11
2017-08-14 12:53:17.686,1502707997686,44,58,30,159,-1085,-79,105,2444,10
2017-08-14 12:53:17.703,1502707997703,57,63,46,100,-1038,-18,76,2437,12
2017-08-14 12:53:17.791,1502707997791,53,53,22,136,-1051,-54,61,2359,14
2017-08-14 12:53:17.810,1502707997810,61,50,42,227,-1099,-42,117,2423,15
2017-08-14 12:53:17.827,1502707997827,63,53,49,150,-1104,-52,121,2415,17
2017-08-14 12:53:17.844,1502707997844,59,46,45,169,-1051,-42,132,2392,18
2017-08-14 12:53:17.913,1502707997913,52,57,41,115,-1071,4,125,2356,20
2017-08-14 12:53:17.931,1502707997931,62,46,40,170,-1062,-50,100,2436,21
2017-08-14 12:53:17.952,1502707997952,53,64,42,86,-1055,-31,116,2478,22
2017-08-14 12:53:18.632,1502707998632,53,63,46,142,-1092,-51,150,2341,3
2017-08-14 12:53:18.653,1502707998653,74,58,41,112,-1080,2,111,2424,4
2017-08-14 12:53:18.669,1502707998669,55,60,40,149,-1059,-51,121,2342,5
2017-08-14 12:53:18.689,1502707998689,65,50,41,92,-1093,-44,94,2375,6
2017-08-14 12:53:18.712,1502707998712,56,67,33,82,-1013,31,166,2382,7
2017-08-14 12:53:18.728,1502707998728,57,63,44,100,-1036,-22,77,2450,12
2017-08-14 12:53:18.747,1502707998747,36,56,46,169,-1031,37,86,2462,9
2017-08-14 12:53:18.764,1502707998764,53,60,25,143,-1058,-50,78,2316,11
2017-08-14 12:53:18.850,1502707998850,52,53,24,137,-1058,-54,68,2379,14
2017-08-14 12:53:18.873,1502707998873,61,52,40,227,-1099,-38,121,2442,15
2017-08-14 12:53:18.890,1502707998890,52,67,42,84,-1040,65,71,2498,19
2017-08-14 12:53:18.908,1502707998908,60,43,44,169,-1054,-39,130,2385,18
2017-08-14 12:53:18.925,1502707998925,63,53,49,151,-1102,-55,129,2402,17
2017-08-14 12:53:18.977,1502707998977,51,58,40,115,-1070,9,124,2356,20
2017-08-14 12:53:18.995,1502707998995,62,46,37,170,-1064,-47,102,2456,21
2017-08-14 12:53:19.013,1502707999013,53,64,42,86,-1051,-31,125,2465,22
2017-08-14 12:53:19.693,1502707999693,53,62,45,143,-1094,-50,148,2328,3
2017-08-14 12:53:19.716,1502707999716,73,58,42,112,-1079,1,110,2424,4
2017-08-14 12:53:19.736,1502707999736,65,49,41,92,-1095,-51,102,2356,6
2017-08-14 12:53:19.757,1502707999757,55,61,41,149,-1051,-51,119,2355,5
2017-08-14 12:53:19.773,1502707999773,45,56,45,169,-1029,39,93,2482,9
2017-08-14 12:53:19.792,1502707999792,57,63,44,100,-1039,-23,82,2443,12
2017-08-14 12:53:19.809,1502707999809,56,68,31,82,-1008,29,169,2382,7
2017-08-14 12:53:19.827,1502707999827,53,60,29,143,-1051,-62,76,2323,11
2017-08-14 12:53:19.912,1502707999912,51,55,26,137,-1052,-52,61,2359,14
2017-08-14 12:53:19.934,1502707999934,61,49,40,227,-1099,-42,127,2442,15
2017-08-14 12:53:19.951,1502707999951,63,53,49,151,-1104,-54,125,2402,17
2017-08-14 12:53:19.971,1502707999971,60,47,42,169,-1053,-41,124,2411,18
2017-08-14 12:53:19.990,1502707999990,53,67,41,84,-1042,65,69,2485,19
2017-08-14 12:53:20.036,1502708000036,51,58,42,115,-1071,4,124,2356,20
2017-08-14 12:53:20.055,1502708000055,62,46,40,170,-1061,-49,101,2436,21
2017-08-14 12:53:20.076,1502708000076,54,65,42,86,-1054,-33,117,2439,22
2017-08-14 12:53:20.754,1502708000754,53,62,46,143,-1087,-54,149,2328,3
2017-08-14 12:53:20.776,1502708000776,73,58,42,112,-1079,-4,109,2424,4
2017-08-14 12:53:20.792,1502708000792,66,48,41,92,-1094,-52,102,2375,6
2017-08-14 12:53:20.810,1502708000810,56,60,40,149,-1053,-51,121,2329,5
2017-08-14 12:53:20.837,1502708000837,56,67,32,82,-1015,33,170,2382,7
2017-08-14 12:53:20.855,1502708000855,45,59,36,160,-1094,-81,137,2470,10
2017-08-14 12:53:20.872,1502708000872,57,64,42,100,-1038,-23,76,2456,12
2017-08-14 12:53:20.891,1502708000891,42,56,46,169,-1032,37,90,2462,9
2017-08-14 12:53:20.907,1502708000907,54,59,28,144,-1051,-52,78,2297,11
2017-08-14 12:53:20.977,1502708000977,51,53,23,137,-1054,-57,65,2366,14
2017-08-14 12:53:20.996,1502708000996,60,48,41,227,-1096,-38,125,2442,15
2017-08-14 12:53:21.013,1502708001013,63,53,49,151,-1106,-55,130,2402,17
2017-08-14 12:53:21.032,1502708001032,52,66,41,84,-1042,65,73,2485,19
2017-08-14 12:53:21.049,1502708001049,59,48,42,169,-1054,-41,126,2411,18
2017-08-14 12:53:21.098,1502708001098,51,57,42,115,-1071,5,117,2362,20
2017-08-14 12:53:21.119,1502708001119,62,47,40,170,-1062,-51,106,2410,21
2017-08-14 12:53:21.137,1502708001137,53,65,42,86,-1053,-31,121,2458,22
2017-08-14 12:53:21.814,1502708001814,54,62,46,142,-1087,-54,146,2348,3
2017-08-14 12:53:21.838,1502708001838,73,57,42,112,-1077,2,110,2431,4
2017-08-14 12:53:21.856,1502708001856,66,49,39,92,-1091,-49,95,2382,6
2017-08-14 12:53:21.875,1502708001875,56,60,39,149,-1054,-51,125,2329,5
2017-08-14 12:53:21.891,1502708001891,55,68,37,82,-1016,30,178,2382,7
2017-08-14 12:53:21.908,1502708001908,43,60,30,160,-1083,-79,108,2457,10
2017-08-14 12:53:21.925,1502708001925,58,64,43,100,-1035,-22,81,2443,12
2017-08-14 12:53:21.945,1502708001945,53,61,28,144,-1047,-881,86,2312,11
2017-08-14 12:53:22.036,1502708002036,53,48,27,137,-1055,-54,59,2346,14
2017-08-14 12:53:22.057,1502708002057,60,50,42,227,-1090,-41,124,2442,15
2017-08-14 12:53:22.074,1502708002074,50,66,42,85,-1040,66,73,2472,19
2017-08-14 12:53:22.093,1502708002093,59,43,43,169,-1051,-42,124,2405,18
2017-08-14 12:53:22.110,1502708002110,63,53,49,151,-1109,-54,122,2402,17
2017-08-14 12:53:22.162,1502708002162,50,58,41,115,-1074,10,125,2375,20
2017-08-14 12:53:22.180,1502708002180,62,47,39,170,-1058,-51,106,2423,21
2017-08-14 12:53:22.197,1502708002197,53,64,42,86,-1047,-28,124,2458,22
2017-08-14 12:53:22.882,1502708002882,54,63,45,142,-1086,-51,146,2328,3
2017-08-14 12:53:22.904,1502708002904,74,57,42,112,-1079,5,114,2411,4
2017-08-14 12:53:22.923,1502708002923,66,48,37,92,-1099,-51,97,2375,6
2017-08-14 12:53:22.940,1502708002940,56,59,40,149,-1055,-49,121,2355,5
2017-08-14 12:53:22.958,1502708002958,46,55,45,169,-1030,33,98,2436,9
2017-08-14 12:53:22.976,1502708002976,55,67,36,82,-1010,28,177,2369,7
2017-08-14 12:53:22.995,1502708002995,59,64,42,100,-1038,-20,81,2450,12
2017-08-14 12:53:23.012,1502708003012,45,59,30,160,-1090,-73,106,2418,10
2017-08-14 12:53:23.032,1502708003032,52,63,30,144,-1047,-54,70,2336,11
2017-08-14 12:53:23.102,1502708003102,53,51,22,137,-1053,-60,57,2359,14
2017-08-14 12:53:23.122,1502708003122,60,51,40,227,-1099,-40,121,2423,15
2017-08-14 12:53:23.141,1502708003141,64,54,49,151,-1104,-59,126,2396,17
2017-08-14 12:53:23.159,1502708003159,59,41,44,168,-1061,-38,133,2392,18
2017-08-14 12:53:23.228,1502708003228,51,58,42,115,-1072,6,122,2369,20
2017-08-14 12:53:23.246,1502708003246,62,48,37,170,-1063,-51,102,2417,21
2017-08-14 12:53:23.267,1502708003267,53,64,40,86,-1051,-27,117,2465,22
2017-08-14 12:53:23.939,1502708003939,54,63,45,141,-1090,-51,150,2322,3
2017-08-14 12:53:23.963,1502708003963,73,58,43,112,-1079,1,114,2411,4
2017-08-14 12:53:23.981,1502708003981,66,48,39,92,-1094,-50,98,2356,6
2017-08-14 12:53:24.011,1502708004011,58,64,41,116,-1056,-535,78,2443,12
2017-08-14 12:53:24.030,1502708004030,52,62,27,143,-1043,-54,73,2323,11
2017-08-14 12:53:24.047,1502708004047,46,55,45,169,-1033,33,93,2443,9
