Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:38:58.103,1502714338103,54,60,35,163,-1086,-52,146,2400,3
2017-08-14 14:38:58.126,1502714338126,74,57,45,119,-1083,1,111,2444,4
2017-08-14 14:38:58.143,1502714338143,39,59,37,162,-1058,-57,121,2433,5
2017-08-14 14:38:58.161,1502714338161,48,57,42,184,-1091,-59,105,2414,6
2017-08-14 14:38:58.187,1502714338187,55,67,27,89,-1013,29,178,2382,7
2017-08-14 14:38:58.203,1502714338203,54,66,38,96,-1088,-58,110,2463,10
2017-08-14 14:38:58.221,1502714338221,52,62,31,136,-1038,39,93,2469,9
2017-08-14 14:38:58.239,1502714338239,61,47,43,217,-1038,-25,77,2456,12
2017-08-14 14:38:58.261,1502714338261,57,66,37,102,-1054,-51,83,2362,11
2017-08-14 14:38:58.324,1502714338324,52,62,46,145,-1056,-54,60,2379,14
2017-08-14 14:38:58.346,1502714338346,66,53,42,107,-1094,-31,116,2384,15
2017-08-14 14:38:58.365,1502714338365,58,48,45,177,-1102,-59,127,2454,17
2017-08-14 14:38:58.383,1502714338383,42,53,37,126,-1047,65,78,2485,19
2017-08-14 14:38:58.449,1502714338449,62,53,48,152,-1070,4,124,2414,20
2017-08-14 14:38:58.466,1502714338466,60,47,40,175,-1058,-31,105,2443,21
2017-08-14 14:38:58.484,1502714338484,57,63,40,97,-1053,-31,121,2491,22
2017-08-14 14:38:59.163,1502714339163,54,61,31,163,-1088,-55,149,2400,3
2017-08-14 14:38:59.188,1502714339188,74,57,43,119,-1075,1,110,2450,4
2017-08-14 14:38:59.204,1502714339204,46,58,40,184,-1091,-58,105,2395,6
2017-08-14 14:38:59.223,1502714339223,38,60,37,162,-1053,-58,117,2394,5
2017-08-14 14:38:59.248,1502714339248,55,67,32,89,-1014,31,175,2382,7
2017-08-14 14:38:59.264,1502714339264,52,66,41,96,-1085,-62,102,2463,10
2017-08-14 14:38:59.282,1502714339282,62,48,44,217,-1035,-27,82,2450,12
2017-08-14 14:38:59.301,1502714339301,54,63,28,136,-1030,31,94,2436,9
2017-08-14 14:38:59.384,1502714339384,52,63,46,145,-1054,-52,61,2379,14
2017-08-14 14:38:59.407,1502714339407,66,52,43,107,-1099,-28,119,2397,15
2017-08-14 14:38:59.423,1502714339423,50,58,35,117,-1054,-38,125,2372,18
2017-08-14 14:38:59.442,1502714339442,58,46,42,177,-1102,-59,126,2448,17
2017-08-14 14:38:59.459,1502714339459,43,54,37,126,-1040,65,69,2485,19
2017-08-14 14:38:59.511,1502714339511,62,53,47,152,-1070,1,121,2414,20
2017-08-14 14:38:59.528,1502714339528,61,47,41,175,-1062,-34,105,2443,21
