Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:21:07.664,1502713267664,46,61,46,204,-1085,-65,150,2374,3
2017-08-14 14:21:07.686,1502713267686,61,49,44,177,-1079,-2,116,2424,4
2017-08-14 14:21:07.702,1502713267702,54,65,43,102,-1056,-51,117,2355,5
2017-08-14 14:21:07.722,1502713267722,64,49,35,99,-1090,-52,100,2362,6
2017-08-14 14:21:07.747,1502713267747,55,67,25,91,-1013,25,173,2356,7
2017-08-14 14:21:07.763,1502713267763,43,53,33,138,-1054,-49,77,2251,11
2017-08-14 14:21:07.780,1502713267780,74,57,46,131,-1037,-20,71,2443,12
2017-08-14 14:21:07.796,1502713267796,58,63,44,108,-1088,-57,100,2424,10
2017-08-14 14:21:07.815,1502713267815,53,66,42,92,-1027,46,95,2410,9
2017-08-14 14:21:07.885,1502713267885,63,53,50,171,-1058,-49,57,2359,14
2017-08-14 14:21:07.907,1502713267907,25,60,37,188,-1099,-42,134,2403,15
2017-08-14 14:21:07.923,1502713267923,55,63,46,136,-1056,-36,132,2366,18
2017-08-14 14:21:07.940,1502713267940,61,49,46,208,-1045,58,70,2498,19
2017-08-14 14:21:07.960,1502713267960,54,62,37,150,-1103,-58,129,2396,17
2017-08-14 14:21:08.010,1502713268010,52,57,35,121,-1071,5,125,2362,20
2017-08-14 14:21:08.028,1502713268028,57,49,44,178,-1063,-38,102,2417,21
2017-08-14 14:21:08.046,1502713268046,55,61,37,149,-1051,-35,117,2426,22
2017-08-14 14:21:08.727,1502713268727,46,60,45,203,-1090,-63,151,2374,3
2017-08-14 14:21:08.745,1502713268745,61,50,43,177,-1079,-4,117,2392,4
2017-08-14 14:21:08.763,1502713268763,65,49,34,99,-1094,-54,100,2349,6
2017-08-14 14:21:08.781,1502713268781,54,65,44,102,-1059,-51,125,2342,5
2017-08-14 14:21:08.809,1502713268809,74,57,46,131,-1038,-18,60,2430,12
2017-08-14 14:21:08.826,1502713268826,58,63,44,108,-1080,-66,103,2411,10
2017-08-14 14:21:08.843,1502713268843,42,52,34,138,-1047,-51,78,2271,11
2017-08-14 14:21:08.947,1502713268947,63,54,50,171,-1054,-59,58,2359,14
2017-08-14 14:21:08.966,1502713268966,26,60,37,188,-1096,-42,124,2397,15
2017-08-14 14:21:08.984,1502713268984,61,48,46,208,-1042,60,63,2485,19
2017-08-14 14:21:09.000,1502713269000,55,63,46,136,-1048,-41,127,2333,18
2017-08-14 14:21:09.020,1502713269020,54,62,37,149,-1106,-58,137,2396,17
2017-08-14 14:21:09.070,1502713269070,52,57,35,121,-1074,6,126,2356,20
2017-08-14 14:21:09.087,1502713269087,57,49,45,178,-1061,-39,93,2410,21
2017-08-14 14:21:09.108,1502713269108,55,60,37,149,-1054,-33,125,2380,22
2017-08-14 14:21:09.786,1502713269786,46,61,45,204,-1090,-63,156,2380,3
2017-08-14 14:21:09.808,1502713269808,61,50,44,177,-1083,-3,110,2424,4
2017-08-14 14:21:09.825,1502713269825,64,49,35,99,-1093,-54,101,2349,6
2017-08-14 14:21:09.842,1502713269842,54,65,44,102,-1058,-50,117,2362,5
2017-08-14 14:21:09.869,1502713269869,55,67,25,91,-1010,29,172,2356,7
2017-08-14 14:21:09.885,1502713269885,74,57,45,131,-1035,-18,73,2404,12
2017-08-14 14:21:09.902,1502713269902,58,63,43,108,-1078,-61,117,2405,10
2017-08-14 14:21:09.920,1502713269920,53,66,42,92,-1035,47,90,2378,9
