Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:32:03.599,1502713923599,45,61,46,203,-1090,-60,153,2393,3
2017-08-14 14:32:03.619,1502713923619,60,49,43,178,-1079,-6,117,2444,4
2017-08-14 14:32:03.636,1502713923636,64,51,37,99,-1090,-51,101,2362,6
2017-08-14 14:32:03.655,1502713923655,54,65,40,102,-1054,-51,121,2362,5
2017-08-14 14:32:03.679,1502713923679,55,67,27,91,-1011,33,177,2362,7
2017-08-14 14:32:03.696,1502713923696,57,63,43,108,-1088,-59,102,2444,10
2017-08-14 14:32:03.713,1502713923713,74,57,44,131,-1033,-22,78,2437,12
2017-08-14 14:32:03.730,1502713923730,44,52,35,137,-1055,-58,78,2290,11
2017-08-14 14:32:03.818,1502713923818,62,53,49,171,-1058,-50,62,2385,14
2017-08-14 14:32:03.839,1502713923839,36,60,33,187,-1101,-41,125,2423,15
2017-08-14 14:32:03.857,1502713923857,54,63,37,144,-1120,-49,172,2355,17
2017-08-14 14:32:03.876,1502713923876,61,48,46,208,-1039,61,66,2498,19
2017-08-14 14:32:03.942,1502713923942,51,57,38,121,-1074,7,129,2369,20
2017-08-14 14:32:03.960,1502713923960,57,50,45,178,-1059,-42,100,2410,21
2017-08-14 14:32:03.981,1502713923981,55,60,37,149,-1051,-31,110,2445,22
2017-08-14 14:32:04.657,1502713924657,45,61,45,203,-1094,-59,149,2374,3
2017-08-14 14:32:04.680,1502713924680,61,48,42,177,-1078,-4,111,2450,4
2017-08-14 14:32:04.699,1502713924699,64,51,40,99,-1094,-50,98,2349,6
2017-08-14 14:32:04.716,1502713924716,54,66,40,102,-1051,-57,117,2329,5
2017-08-14 14:32:04.732,1502713924732,73,58,44,131,-1038,-20,71,2443,12
2017-08-14 14:32:04.750,1502713924750,58,63,42,108,-1086,-58,110,2437,10
2017-08-14 14:32:04.767,1502713924767,54,68,26,91,-1010,29,172,2356,7
2017-08-14 14:32:04.787,1502713924787,44,51,35,137,-1051,-50,70,2277,11
2017-08-14 14:32:04.880,1502713924880,63,54,48,171,-1052,-51,61,2366,14
2017-08-14 14:32:04.900,1502713924900,34,60,22,187,-1101,-36,127,2423,15
2017-08-14 14:32:04.918,1502713924918,61,47,45,208,-1045,61,69,2531,19
2017-08-14 14:32:04.935,1502713924935,54,62,35,148,-1101,-59,126,2376,17
2017-08-14 14:32:05.003,1502713925003,51,56,33,121,-1071,5,117,2356,20
2017-08-14 14:32:05.022,1502713925022,57,49,45,178,-1061,-41,103,2417,21
2017-08-14 14:32:05.039,1502713925039,55,60,40,149,-1053,-31,127,2432,22
2017-08-14 14:32:05.724,1502713925724,48,60,43,201,-1087,-63,146,2380,3
2017-08-14 14:32:05.748,1502713925748,61,48,41,177,-1077,-9,105,2424,4
2017-08-14 14:32:05.765,1502713925765,64,52,42,98,-1094,-52,100,2349,6
2017-08-14 14:32:05.785,1502713925785,54,65,37,102,-1056,-54,125,2342,5
2017-08-14 14:32:05.808,1502713925808,55,68,22,91,-1013,33,175,2356,7
2017-08-14 14:32:05.827,1502713925827,45,53,37,137,-1056,-55,79,2290,11
2017-08-14 14:32:05.844,1502713925844,58,63,45,108,-1086,-52,100,2444,10
2017-08-14 14:32:05.866,1502713925866,73,57,45,131,-1035,-20,65,2443,12
2017-08-14 14:32:05.946,1502713925946,63,55,48,169,-1054,-52,63,2385,14
2017-08-14 14:32:05.967,1502713925967,29,60,31,185,-1102,-38,127,2423,15
2017-08-14 14:32:05.984,1502713925984,60,48,45,208,-1042,58,73,2498,19
2017-08-14 14:32:06.000,1502713926000,53,63,43,135,-1055,-42,132,2372,18
2017-08-14 14:32:06.017,1502713926017,53,62,32,148,-1107,-60,132,2402,17
2017-08-14 14:32:06.071,1502713926071,51,56,41,121,-1071,5,125,2369,20
2017-08-14 14:32:06.088,1502713926088,57,51,45,178,-1062,-36,92,2417,21
2017-08-14 14:32:06.107,1502713926107,53,59,40,149,-1047,-34,121,2432,22
2017-08-14 14:32:06.781,1502713926781,48,60,41,201,-1088,-60,151,2393,3
2017-08-14 14:32:06.801,1502713926801,61,50,42,177,-1079,-9,117,2424,4
2017-08-14 14:32:06.819,1502713926819,53,65,36,102,-1056,-51,121,2375,5
2017-08-14 14:32:06.839,1502713926839,65,52,43,98,-1094,-54,102,2362,6
2017-08-14 14:32:06.864,1502713926864,55,67,26,91,-1015,33,178,2369,7
2017-08-14 14:32:06.881,1502713926881,45,52,38,137,-1047,-60,70,2290,11
2017-08-14 14:32:06.902,1502713926902,58,63,45,108,-1094,-55,109,2418,10
2017-08-14 14:32:06.919,1502713926919,73,58,42,131,-1035,-26,73,2398,12
2017-08-14 14:32:07.002,1502713927002,63,54,48,169,-1055,-51,57,2359,14
2017-08-14 14:32:07.023,1502713927023,31,60,35,185,-1094,-42,130,2397,15
2017-08-14 14:32:07.040,1502713927040,54,63,44,135,-1054,-39,125,2366,18
2017-08-14 14:32:07.058,1502713927058,52,62,33,148,-1104,-57,134,2402,17
2017-08-14 14:32:07.076,1502713927076,60,48,44,208,-1045,58,66,2524,19
2017-08-14 14:32:07.125,1502713927125,52,57,41,120,-1074,1,121,2369,20
2017-08-14 14:32:07.143,1502713927143,57,50,45,177,-1062,-41,95,2371,21
2017-08-14 14:32:07.162,1502713927162,53,60,38,149,-1055,-33,117,2439,22
2017-08-14 14:32:07.842,1502713927842,48,60,40,201,-1093,-62,151,2413,3
2017-08-14 14:32:07.863,1502713927863,61,51,42,177,-1078,-3,121,2431,4
2017-08-14 14:32:07.880,1502713927880,53,66,35,102,-1054,-54,126,2362,5
2017-08-14 14:32:07.899,1502713927899,65,51,42,98,-1090,-51,97,2349,6
2017-08-14 14:32:07.925,1502713927925,55,67,27,91,-1013,26,185,2401,7
2017-08-14 14:32:07.943,1502713927943,45,53,39,137,-1050,-54,76,2297,11
2017-08-14 14:32:07.961,1502713927961,58,63,45,108,-1090,-55,110,2444,10
2017-08-14 14:32:07.981,1502713927981,73,58,41,131,-1032,-17,74,2424,12
2017-08-14 14:32:08.062,1502713928062,63,54,49,169,-1055,-51,60,2385,14
2017-08-14 14:32:08.083,1502713928083,33,60,36,185,-1095,-44,132,2397,15
2017-08-14 14:32:08.100,1502713928100,52,62,33,148,-1107,-58,134,2428,17
2017-08-14 14:32:08.118,1502713928118,60,48,44,208,-1039,61,74,2518,19
2017-08-14 14:32:08.136,1502713928136,53,63,44,135,-1056,-33,132,2372,18
2017-08-14 14:32:08.185,1502713928185,52,57,41,120,-1071,7,122,2369,20
2017-08-14 14:32:08.205,1502713928205,57,49,46,178,-1062,-42,95,2410,21
2017-08-14 14:32:08.223,1502713928223,53,60,37,149,-1048,-34,127,2439,22
2017-08-14 14:32:08.905,1502713928905,48,60,40,201,-1090,-55,151,2380,3
2017-08-14 14:32:08.926,1502713928926,61,49,42,177,-1079,-10,114,2431,4
2017-08-14 14:32:08.945,1502713928945,65,52,43,98,-1090,-54,102,2356,6
2017-08-14 14:32:08.961,1502713928961,53,66,36,102,-1053,-59,121,2388,5
2017-08-14 14:32:08.986,1502713928986,55,68,28,91,-1011,30,182,2356,7
2017-08-14 14:32:09.002,1502713929002,74,58,42,131,-1039,-18,76,2450,12
2017-08-14 14:32:09.020,1502713929020,58,63,45,108,-1083,-54,102,2457,10
2017-08-14 14:32:09.038,1502713929038,45,52,40,137,-1053,-52,78,2284,11
2017-08-14 14:32:09.125,1502713929125,63,54,49,169,-1054,-50,57,2340,14
2017-08-14 14:32:09.149,1502713929149,33,60,36,185,-1099,-38,134,2423,15
2017-08-14 14:32:09.165,1502713929165,60,47,44,208,-1037,54,66,2498,19
2017-08-14 14:32:09.184,1502713929184,53,62,33,148,-1111,-59,137,2435,17
2017-08-14 14:32:09.200,1502713929200,55,63,43,136,-1057,-42,130,2359,18
2017-08-14 14:32:09.249,1502713929249,52,57,42,120,-1074,6,121,2356,20
2017-08-14 14:32:09.268,1502713929268,57,49,46,178,-1063,-42,98,2404,21
2017-08-14 14:32:09.284,1502713929284,52,59,37,149,-1051,-38,125,2432,22
2017-08-14 14:32:09.962,1502713929962,47,60,40,201,-1087,-59,151,2400,3
2017-08-14 14:32:09.983,1502713929983,61,52,42,177,-1078,-4,111,2424,4
2017-08-14 14:32:10.001,1502713930001,65,53,42,98,-1093,-51,103,2356,6
2017-08-14 14:32:10.017,1502713930017,53,66,37,102,-1062,-51,117,2355,5
2017-08-14 14:32:10.046,1502713930046,55,67,30,91,-1007,26,175,2382,7
