Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-09-27 08:32:45.222,1506493965222,48,44,50,1,-8,-17,-922,1994,21
2017-09-27 08:32:47.295,1506493967295,48,43,51,1,-10,-17,-919,2001,21
2017-09-27 08:32:49.366,1506493969366,49,42,48,1,-6,-11,-926,1994,21
2017-09-27 08:32:51.437,1506493971437,48,53,51,1,-1253,182,285,1988,21
2017-09-27 08:32:53.506,1506493973506,47,47,49,385,-21,18,1149,2001,21
2017-09-27 08:32:55.582,1506493975582,49,51,50,437,-21,18,1149,2001,21
2017-09-27 08:32:57.650,1506493977650,48,50,50,434,-19,20,1145,1994,21
2017-09-27 08:32:59.721,1506493979721,49,51,50,434,-21,17,1145,2001,21
2017-09-27 08:33:01.791,1506493981791,48,51,51,434,-23,17,1150,2001,21
2017-09-27 08:33:03.864,1506493983864,51,53,51,455,-18,22,1122,2027,21
2017-09-27 08:33:05.935,1506493985935,50,52,51,455,-23,15,1146,2001,21
2017-09-27 08:33:08.005,1506493988005,50,52,49,455,-27,17,1154,2007,21
2017-09-27 08:33:10.077,1506493990077,49,52,52,455,-23,13,1151,2001,21
2017-09-27 08:33:12.148,1506493992148,50,53,51,455,-21,17,1149,2001,21
2017-09-27 08:33:14.217,1506493994217,51,53,50,455,-22,20,1149,2001,21
2017-09-27 08:33:16.288,1506493996288,49,52,49,455,-23,15,1149,2001,21
2017-09-27 08:33:18.361,1506493998361,49,53,50,455,-24,21,1152,1994,21
2017-09-27 08:33:20.429,1506494000429,49,52,50,455,-27,20,1150,2007,21
2017-09-27 08:33:22.501,1506494002501,49,53,50,455,-27,17,1154,2001,21
2017-09-27 08:33:24.572,1506494004572,49,52,50,455,-21,15,1140,2001,21
2017-09-27 08:33:24.627,1506494004627,50,38,45,2,-43,-31,-931,2049,22
2017-09-27 08:33:26.642,1506494006642,48,52,50,455,-27,18,1146,2001,21
2017-09-27 08:33:26.698,1506494006698,50,35,46,2,-43,-31,-935,2068,22
2017-09-27 08:33:28.715,1506494008715,49,52,51,455,-24,22,1151,2001,21
2017-09-27 08:33:28.769,1506494008769,50,39,45,2,-38,-26,-932,2068,22
2017-09-27 08:33:30.782,1506494010782,48,52,51,455,-23,17,1149,2001,21
2017-09-27 08:33:30.837,1506494010837,48,47,44,2,-42,-28,-931,2049,22
2017-09-27 08:33:32.854,1506494012854,47,50,51,434,-22,22,1150,2001,21
2017-09-27 08:33:32.910,1506494012910,52,45,46,1,-334,-82,-870,2062,22
2017-09-27 08:33:34.925,1506494014925,48,51,51,437,-23,18,1149,2001,21
2017-09-27 08:33:36.998,1506494016998,46,50,51,118,282,333,-402,2001,21
2017-09-27 17:00:45.451,1506524445451,61,57,56,0,-338,273,-715,2495,21
2017-09-27 17:00:47.522,1506524447522,55,50,55,14,186,-170,-743,2495,21
2017-09-27 17:00:49.591,1506524449591,40,51,40,23,88,282,-892,2514,21
2017-09-27 17:00:51.662,1506524451662,46,59,51,30,-560,524,-644,2495,21
2017-09-27 17:00:53.733,1506524453733,36,50,32,192,-160,396,988,2495,21
2017-09-27 17:00:55.804,1506524455804,43,57,48,22,737,-234,-769,2514,21
2017-09-27 17:00:55.861,1506524455861,54,65,60,107,-605,-356,681,2601,22
2017-09-27 17:00:57.874,1506524457874,53,63,55,17,402,-452,-722,2508,21
2017-09-27 17:00:57.928,1506524457928,56,58,57,28,-1053,-59,-271,2595,22
2017-09-27 17:00:59.945,1506524459945,50,61,53,17,538,-402,-686,2508,21
2017-09-27 17:01:00.002,1506524460002,58,58,57,33,-1030,-47,84,2601,22
2017-09-27 17:01:02.018,1506524462018,44,59,52,18,577,-383,-666,2514,21
2017-09-27 17:01:02.072,1506524462072,55,66,60,29,-1054,-51,156,2595,22
2017-09-27 17:01:04.089,1506524464089,46,61,53,18,570,-315,-679,2508,21
2017-09-27 17:01:04.141,1506524464141,54,62,60,28,-1054,-31,30,2595,22
2017-09-27 17:01:06.161,1506524466161,48,62,53,19,560,-358,-711,2488,21
2017-09-27 17:01:08.231,1506524468231,48,57,41,19,907,-338,-386,2508,21
2017-09-27 17:01:10.304,1506524470304,52,58,42,26,325,-123,-607,2488,21
2017-09-27 17:01:10.358,1506524470358,60,62,59,53,-1055,-28,125,2614,22
2017-09-27 17:01:12.371,1506524472371,57,45,44,23,149,458,-530,2508,21
2017-09-27 17:01:12.428,1506524472428,61,57,60,54,-1051,-33,130,2588,22
2017-09-27 17:01:14.442,1506524474442,55,44,45,8,890,385,-242,2508,21
2017-09-27 17:01:14.496,1506524474496,60,63,61,54,-1055,-33,135,2595,22
2017-09-27 17:01:16.515,1506524476515,52,48,47,14,893,351,-242,2508,21
2017-09-27 17:01:16.568,1506524476568,60,63,60,54,-1056,-30,133,2595,22
2017-09-27 17:01:18.587,1506524478587,45,46,43,16,309,327,-167,2508,21
2017-09-27 17:01:18.640,1506524478640,59,62,61,54,-1055,-31,133,2601,22
2017-09-27 17:01:20.657,1506524480657,54,52,42,9,946,-313,-215,2514,21
2017-09-27 17:01:20.709,1506524480709,58,62,61,54,-1053,-30,130,2588,22
2017-09-27 17:01:22.724,1506524482724,47,50,33,14,785,-486,-119,2514,21
2017-09-27 17:01:22.779,1506524482779,63,62,60,55,-1054,-28,134,2588,22
2017-09-27 17:01:24.798,1506524484798,46,53,48,16,138,-202,-754,2514,21
2017-09-27 17:01:24.854,1506524484854,63,62,60,56,-1056,-34,129,2595,22
2017-09-27 17:01:26.868,1506524486868,47,43,40,11,-328,430,-811,2514,21
2017-09-27 17:01:26.923,1506524486923,52,65,61,50,-1053,-30,135,2588,22
2017-09-27 17:01:28.939,1506524488939,45,46,39,13,-203,478,-803,2514,21
2017-09-27 17:01:28.993,1506524488993,55,64,61,48,-1053,-31,126,2595,22
2017-09-27 17:01:31.011,1506524491011,55,50,46,15,-498,386,-505,2514,21
2017-09-27 17:01:31.063,1506524491063,57,64,61,48,-1054,-31,122,2582,22
